            VLM2 -    0.0-139.00m/s    
       -8.295         0.1466717  
       -8.085         0.1922026  
       -7.875         0.2165235  
       -7.665         0.2317446  
       -7.455         0.2420374  
       -7.245         0.2493149  
       -7.035         0.2546018  
       -6.825         0.2585042  
       -6.615         0.2614059  
       -6.405         0.2635621  
       -6.195         0.2651491  
       -5.985         0.2662924  
       -5.775         0.2670834  
       -5.565         0.2675901  
       -5.355         0.2678636  
       -5.145         0.2679434  
       -4.935         0.2678598  
       -4.725         0.2676366  
       -4.515         0.2672926  
       -4.305         0.2668425  
       -4.095         0.2662983  
       -3.885         0.2656693  
       -3.675         0.2649629  
       -3.465         0.2641851  
       -3.255         0.2633403  
       -3.045         0.2624323  
       -2.835         0.2614634  
       -2.625         0.2604355  
       -2.415         0.2593496  
       -2.205         0.2582061  
       -1.995         0.2570046  
       -1.785         0.2557442  
       -1.575         0.2544228  
       -1.365         0.2530378  
       -1.155         0.2515846  
       -0.945         0.2500568  
       -0.735         0.2484437  
       -0.525         0.2467264  
       -0.315         0.2448628  
       -0.105         0.2427185  
        0.105         0.2427185  
        0.315         0.2448628  
        0.525         0.2467264  
        0.735         0.2484437  
        0.945         0.2500568  
        1.155         0.2515846  
        1.365         0.2530378  
        1.575         0.2544228  
        1.785         0.2557442  
        1.995         0.2570046  
        2.205         0.2582061  
        2.415         0.2593496  
        2.625         0.2604355  
        2.835         0.2614634  
        3.045         0.2624323  
        3.255         0.2633403  
        3.465         0.2641851  
        3.675         0.2649629  
        3.885         0.2656693  
        4.095         0.2662983  
        4.305         0.2668425  
        4.515         0.2672926  
        4.725         0.2676366  
        4.935         0.2678598  
        5.145         0.2679434  
        5.355         0.2678636  
        5.565         0.2675901  
        5.775         0.2670834  
        5.985         0.2662924  
        6.195         0.2651491  
        6.405         0.2635621  
        6.615         0.2614059  
        6.825         0.2585042  
        7.035         0.2546018  
        7.245         0.2493149  
        7.455         0.2420374  
        7.665         0.2317446  
        7.875         0.2165235  
        8.085         0.1922026  
        8.295         0.1466717  

