            VLM2 -   15.0-40.40m/s    
     -9.18375         0.7825258  
     -8.95125          1.070414  
     -8.71875          1.234312  
     -8.48625          1.339719  
     -8.25375          1.411778  
     -8.02125          1.462894  
     -7.78875           1.50002  
     -7.55625          1.527374  
     -7.32375          1.547661  
     -7.09125          1.562688  
     -6.85875          1.573706  
     -6.62625          1.581604  
     -6.39375          1.587025  
     -6.16125          1.590447  
     -5.92875          1.592227  
     -5.69625          1.592638  
     -5.46375          1.591889  
     -5.23125          1.590141  
     -4.99875          1.587522  
     -4.76625          1.584129  
     -4.53375          1.580038  
     -4.30125          1.575308  
     -4.06875          1.569984  
     -3.83625            1.5641  
     -3.60375          1.557679  
     -3.37125          1.550735  
     -3.13875          1.543277  
     -2.90625          1.535305  
     -2.67375          1.526814  
     -2.44125          1.517794  
     -2.20875          1.508228  
     -1.97625          1.498093  
     -1.74375           1.48736  
     -1.51125          1.475994  
     -1.27875          1.463947  
     -1.04625          1.451161  
     -0.81375          1.437557  
     -0.58125          1.423018  
     -0.34875          1.407342  
     -0.11625          1.390075  
      0.11625          1.390075  
      0.34875          1.407342  
      0.58125          1.423018  
      0.81375          1.437557  
      1.04625          1.451161  
      1.27875          1.463947  
      1.51125          1.475994  
      1.74375           1.48736  
      1.97625          1.498093  
      2.20875          1.508228  
      2.44125          1.517794  
      2.67375          1.526814  
      2.90625          1.535305  
      3.13875          1.543277  
      3.37125          1.550735  
      3.60375          1.557679  
      3.83625            1.5641  
      4.06875          1.569984  
      4.30125          1.575308  
      4.53375          1.580038  
      4.76625          1.584129  
      4.99875          1.587522  
      5.23125          1.590141  
      5.46375          1.591889  
      5.69625          1.592638  
      5.92875          1.592227  
      6.16125          1.590447  
      6.39375          1.587025  
      6.62625          1.581604  
      6.85875          1.573706  
      7.09125          1.562688  
      7.32375          1.547661  
      7.55625          1.527374  
      7.78875           1.50002  
      8.02125          1.462894  
      8.25375          1.411778  
      8.48625          1.339719  
      8.71875          1.234312  
      8.95125          1.070414  
      9.18375         0.7825258  

